"Tag","Value","Tag_Description"
"access","limited","Accessibility Status"
"access","locked","Accessibility Status"
"access","no","Accessibility Status"
"access","restricted","Accessibility Status"
"access","yes","Accessibility Status"
"addr:full","Text or number value","Address"
"admin_level","1","Administrative Division"
"admin_level","2","Administrative Division"
"admin_level","4","Administrative Division"
"admin_level","6","Administrative Division"
"admin_level","8","Administrative Division"
"admin_level","other","Administrative Division"
"advertising","billboard","Feature Code AG050"
"aero_route:type","both","Aeronautical Route Category"
"aero_route:type","high","Aeronautical Route Category"
"aero_route:type","low","Aeronautical Route Category"
"aeroway:aerodrome_symbol","abandoned_or_closed_(with_usable_runways_or_landing_areas)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_(with_less_than_the_minimum_facilities)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_civil_heliport","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_civil_heliport_(with_less_than_minimum_facilities)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_civilian","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_joint_(civilian/military)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_joint_(civilian/military)_heliport","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_military","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_military_heliport","Airfield Symbol Type"
"aeroway:aerodrome_symbol","active_military_heliport_(with_less_than_minimum_facilities)","Airfield Symbol Type"
"aeroway:aerodrome_symbol","decoy","Airfield Symbol Type"
"aeroway:aerodrome_symbol","highway_strip","Airfield Symbol Type"
"aeroway:aerodrome_symbol","unusable_for_landing_or_take-off","Airfield Symbol Type"
"aeroway:airfield:type","airport/airfield","Airfield Type"
"aeroway:airfield:type","heliport","Airfield Type"
"aeroway:airfield:type","heliport_at_hospitals","Airfield Type"
"aeroway:airfield:type","major","Airfield Type"
"aeroway:airfield:type","minor","Airfield Type"
"aeroway:airfield:type","minor_and_hard","Airfield Type/Facility Priority Type"
"aeroway:airfield:type","minor_and_soft","Airfield Type/Facility Priority Type"
"aeroway:airfield:type","other","Airfield Type"
"aeroway:airfield:type","undefined_landing_area","Airfield Type"
"aeroway:airfield:type","unpopulated","Airfield Type"
"aeroway:light","air_force_overrun","Aeronautical Light Function"
